id,species,scientific_name,observed_on,latitude,longitude,user,quality_grade,url
260524299,Great Barbet,Psilopogon virens,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524299
260524297,Olive-backed Pipit,Anthus hodgsoni,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524297
260524296,Green-tailed Sunbird,Aethopyga nipalensis,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524296
260524295,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524295
260524294,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524294
260524291,Scarlet Minivet,Pericrocotus speciosus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524291
260524289,Blue-fronted Redstart,Phoenicurus frontalis,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524289
260524287,Indian White-eye,Zosterops palpebrosus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524287
260524286,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524286
260524284,Red-vented Bulbul,Pycnonotus cafer,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524284
260524283,Minivets,Pericrocotus,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524283
260524282,Scarlet Minivet,Pericrocotus speciosus,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524282
260524281,Indian White-eye,Zosterops palpebrosus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524281
260524280,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524280
260524279,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524279
260524277,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524277
260524276,Minivets,Pericrocotus,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524276
260524275,Speckled Piculet,Picumnus innominatus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524275
260524274,Long-tailed Minivet,Pericrocotus ethologus,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524274
260524273,Indian White-eye,Zosterops palpebrosus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524273
260524272,Speckled Piculet,Picumnus innominatus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524272
260524271,Scarlet Minivet,Pericrocotus speciosus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524271
260524270,Green-backed Tit,Parus monticolus,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524270
260524266,Nuthatches,Sitta,2020-12-01,26.917474,88.4113034,supratimdeb,needs_id,https://www.inaturalist.org/observations/260524266
260524265,Red-vented Bulbul,Pycnonotus cafer,2020-12-01,26.917474,88.4113034,supratimdeb,research,https://www.inaturalist.org/observations/260524265
260519902,White-tailed Nuthatch,Sitta himalayensis,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519902
260519901,Green-backed Tit,Parus monticolus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519901
260519899,Green-backed Tit,Parus monticolus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519899
260519898,White-tailed Nuthatch,Sitta himalayensis,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519898
260519896,Blue Whistling-Thrush,Myophonus caeruleus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519896
260519894,Green-backed Tit,Parus monticolus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519894
260519892,Speckled Piculet,Picumnus innominatus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519892
260519891,Blue Whistling-Thrush,Myophonus caeruleus,2020-12-01,26.8712802,88.3615713,supratimdeb,research,https://www.inaturalist.org/observations/260519891
260461295,sunbird female,Nectariniidae,2025-02-03,26.9119321081,88.4051756188,aliya49705,needs_id,https://www.inaturalist.org/observations/260461295
260270596,Baya Weaver,Ploceus philippinus,2024-08-20,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/260270596
260134807,Spotted Laughingthrush,Ianthocincla ocellata,2024-10-28,26.9945694444,88.2844555556,sikkim_naturalist,research,https://www.inaturalist.org/observations/260134807
260134770,Hill Partridge,Arborophila torqueola,2024-10-28,26.9943333333,88.2848222222,sikkim_naturalist,research,https://www.inaturalist.org/observations/260134770
260134354,Streaked Laughingthrush,Trochalopteron lineatum,2024-10-28,26.9971277778,88.2750083333,sikkim_naturalist,research,https://www.inaturalist.org/observations/260134354
260131559,Great Hornbill,Buceros bicornis,2024-09-07,26.9277792103,88.3250503319,asish05,research,https://www.inaturalist.org/observations/260131559
